#
#   VizieR Astronomical Server: http://vizier.u-strasbg.fr	2004-12-14T02:23:50
#   Explanations and Statistics of UCDs:			See LINK below
#   In case of problem, please report to:	question@simbad.u-strasbg.fr
#    (link)
#
#Coosys	J2000:	eq_FK5 2000
#INFO	Ref=Vxml18671
#INFO	Target=201.298247-11.161322,bm=600.000000/600.

#RESOURCE=1131
#Name: I/131A
#Title:	SAO Star Catalog J2000 (SAO Staff 1966; USNO, ADC 1990)
#Table	I_131A_sao:
#Name: I/131A/sao
#Title:	The SAO J2000.0 catalogue
#Coosys	B1950_1950.000:	eq_FK4 1950_1950.000
#Column	recno	(I8)	Record number within the original table (starting from 1)        (link)	[ucd=RECORD]
#Column	_r	(F8.6)	Distance from center (RAB1950=13 22 33.154, DEB1950=-10 54 04.84)	[ucd=POS_ANG_DIST_GENERAL]
#Column	_RAJ2000	(A11)	Right ascension (FK5) Equinox=J2000.0 Epoch=J2000.000, proper motions taken into account  (computed by VizieR, not part of the original data)	[ucd=POS_EQ_RA_MAIN]
#Column	_DEJ2000	(A11)	Declination (FK5) Equinox=J2000.0 Epoch=J2000.000, proper motions taken into account  (computed by VizieR, not part of the original data)	[ucd=POS_EQ_DEC_MAIN]
#Column	SAO	(I6)	[1/258997]+ SAO Catalog number        (link)	[ucd=ID_MAIN]
#Column	delFlag	(A1)	[D] if star deleted (ignore all fields)	[ucd=CODE_MISC]
#Column	RAB1950	(A12)	Hours RA, Equinox=B1950, Epoch=1950.0	[ucd=POS_EQ_RA_MAIN]
#Column	pmRA	(F7.4)	Annual proper motion in RA, FK4 system	[ucd=POS_EQ_PMRA]
#Column	DEB1950	(A12)	Degrees Dec, equinox B1950, Epoch=1950.0	[ucd=POS_EQ_DEC_MAIN]
#Column	pmDE	(F6.3)	? Annual proper motion in Dec, FK4 system (10)	[ucd=POS_EQ_PMDEC]
#Column	Pmag	(F4.1)	[]? Photographic magnitude	[ucd=PHOT_PHG_B]
#Column	Vmag	(F4.1)	[]? Visual magnitude	[ucd=PHOT_MAG_V]
#Column	SpType	(A3)	Spectral type, '+++' for composite spectra	[ucd=SPECT_TYPE_GENERAL]

recno	        _r	        _RAJ2000	_DEJ2000	SAO	delFlag	RAB1950	        pmRA	DEB1950         pmDE	Pmag	Vmag	SpType
	        deg	        "h:m:s"	        "d:m:s"			        "h:m:s"	        s/a	"d:m:s"	        arcsec/amag	mag
--------	--------	-----------	-----------	------	-	------------	-------	------------	------	----	----	---
  157923	0.000727	13 25 11.59	-11 09 40.7	157923	 	13 22 33.301	-0.0029	-10 54 03.36	-0.033	    	 1.2	B2
  157912	0.422266	13 23 56.45	-10 52 16.8	157912	 	13 21 18.411	-0.0041	-10 36 37.13	-0.040	    	 8.1	F0
  157940	0.478892	13 27 00.40	-11 20 20.0	157940	 	13 24 21.819	-0.0006	-11 04 46.69	-0.009	    	 8.7	F2
  157931	0.659323	13 26 01.88	-10 32 03.1	157931	 	13 23 24.122	-0.0088	-10 16 33.38	 0.093	    	 8.7	G5
  157900	0.705578	13 23 01.56	-10 41 51.5	157900	 	13 20 23.448	-0.0001	-10 26 12.58	 0.002	    	 8.8	K0
  157939	0.709717	13 26 55.87	-10 35 41.7	157939	 	13 24 17.647	-0.0010	-10 20 06.54	-0.044	    	 8.8	G5
  157945	0.722886	13 27 18.41	-10 39 28.7	157945	 	13 24 40.173	-0.0017	-10 23 57.53	 0.024	    	 9.1	K5
  157919	0.742044	13 24 50.73	-10 25 27.9	157919	 	13 22 12.732	-0.0020	-10 09 50.51	-0.022	    	 9.2	F5
  157918	0.747233	13 24 25.14	-10 26 17.7	157918	 	13 21 47.228	-0.0033	-10 10 41.45	 0.013	    	 8.9	G0
  157954	0.771381	13 28 18.01	-11 02 47.4	157954	 	13 25 39.598	-0.0026	-10 47 16.00	-0.013	    	 9.0	K5
  157953	0.830573	13 28 11.36	-10 46 37.8	157953	 	13 25 33.137	-0.0040	-10 31 05.12	-0.035	    	 9.1	K0
  157958	0.835491	13 28 35.61	-11 06 46.3	157958	 	13 25 57.017	 0.0000	-10 51 15.45	-0.012	    	 9.1	K2
  157889	0.852837	13 22 16.25	-11 37 24.8	157889	 	13 19 37.539	 0.0049	-11 21 41.86	-0.054	    	 9.1	K2
  157888	0.856132	13 22 15.35	-11 37 27.7	157888	 	13 19 36.540	 0.0068	-11 21 40.88	-0.131	    	 9.5	K2
  157906	0.939124	13 23 16.66	-10 20 53.3	157906	 	13 20 38.768	-0.0019	-10 05 15.01	 0.007	    	 9.0	G5
  157881	1.058578	13 21 35.46	-11 44 48.9	157881	 	13 18 57.136	-0.0032	-11 29 07.02	-0.012	    	 8.1	K2
